VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, gl_ClipDistance[0], gl_ClipDistance[1], VertexData.clipDist0, VertexData.clipDist1, VertexData.colors_0.x, VertexData.colors_0.y, VertexData.colors_0.z, VertexData.colors_0.w, VertexData.colors_1.x, VertexData.colors_1.y, VertexData.colors_1.z, VertexData.colors_1.w, VertexData.pos.x, VertexData.pos.y, VertexData.pos.z, VertexData.pos.w, VertexData.tex0.x, VertexData.tex0.y, VertexData.tex0.z
29, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
30, 1069565, -3.79421, -2.85749, 0.09983, 47.76888, 47.66904, 0.09983, 47.66904, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -3.79421, -2.85749, 0.09983, 47.76888, 0.00, 1.00, 1.00
31, 1069566, 0.7485, -2.85749, 0.09983, 47.76887, 47.66904, 0.09983, 47.66904, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.7485, -2.85749, 0.09983, 47.76887, 2.00, 1.00, 1.00
32, 1069564, -3.79421, -8.67216, 0.09983, 47.76887, 47.66904, 0.09983, 47.66904, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -3.79421, -8.67216, 0.09983, 47.76887, 0.00, 3.00, 1.00
33, 1069567, 0.7485, -8.67216, 0.09983, 47.76887, 47.66904, 0.09983, 47.66904, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.7485, -8.67216, 0.09983, 47.76887, 2.00, 3.00, 1.00
34, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
35, 1069569, -2.15406, -5.3715, 0.09983, 48.37053, 48.27071, 0.09983, 48.27071, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -2.15406, -5.3715, 0.09983, 48.37053, 0.00, 1.00, 1.00
36, 1069570, -0.89196, -5.3715, 0.09983, 48.37053, 48.27071, 0.09983, 48.27071, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -0.89196, -5.3715, 0.09983, 48.37053, 2.00, 1.00, 1.00
37, 1069568, -2.15406, -6.98699, 0.09983, 48.37053, 48.27071, 0.09983, 48.27071, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -2.15406, -6.98699, 0.09983, 48.37053, 0.00, 3.00, 1.00
38, 1069571, -0.89196, -6.98699, 0.09983, 48.37053, 48.27071, 0.09983, 48.27071, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -0.89196, -6.98699, 0.09983, 48.37053, 2.00, 3.00, 1.00
39, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
