VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, gl_ClipDistance[0], gl_ClipDistance[1], VertexData.clipDist0, VertexData.clipDist1, VertexData.colors_0.x, VertexData.colors_0.y, VertexData.colors_0.z, VertexData.colors_0.w, VertexData.colors_1.x, VertexData.colors_1.y, VertexData.colors_1.z, VertexData.colors_1.w, VertexData.pos.x, VertexData.pos.y, VertexData.pos.z, VertexData.pos.w, VertexData.tex0.x, VertexData.tex0.y, VertexData.tex0.z
0, 1069537, -16.38926, 11.92556, 0.09983, 48.35742, 48.2576, 0.09983, 48.2576, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -16.38926, 11.92556, 0.09983, 48.35742, 0.00, 1.00, 1.00
1, 1069538, 13.34323, 11.92556, 0.09983, 48.35742, 48.25759, 0.09983, 48.25759, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 13.34323, 11.92556, 0.09983, 48.35742, 2.00, 1.00, 1.00
2, 1069536, -16.38925, -26.13203, 0.09983, 48.35742, 48.2576, 0.09983, 48.2576, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -16.38925, -26.13203, 0.09983, 48.35742, 0.00, 3.00, 1.00
3, 1069539, 13.34324, -26.13203, 0.09983, 48.35742, 48.25759, 0.09983, 48.25759, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 13.34324, -26.13203, 0.09983, 48.35742, 2.00, 3.00, 1.00
4, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
